Title,Author,Publication_Date,ePub_link,MOBI_link,URL
"Report on HMP Shotts Follow-up Inspection, 29 September – 3 October 2014",Her Majesty's Inspectorate of Prisons for Scotland,2014-12-16 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-shotts-follow-up-inspection-29-september-3-october-2014_0.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-shotts-follow-up-inspection-29-september-3-october-2014_0.mobi,http://scotgov.publishingthefuture.info/publication/report-on-hmp-shotts-follow-up-inspection-29-september-3-october-2014
NHSScotland Chief Executive’s Annual Report 2013/2014,The Scottish Government,2014-12-12 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-nhsscotland-chief-executives-annual-report-2013-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-nhsscotland-chief-executives-annual-report-2013-2014.mobi,http://scotgov.publishingthefuture.info/publication/nhsscotland-annual-report-2013-2014
One Scotland - Programme for Government,The Scottish Government,2014-11-26 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-one-scotland-programme-for-government.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-one-scotland-programme-for-government.mobi,http://scotgov.publishingthefuture.info/publication/one-scotland-programme-for-government
DSA Consultation Individual Response Analysis,The Scottish Government,2014-11-12 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-dsa-consultation-individual-response-analysis.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-dsa-consultation-individual-response-analysis.mobi,http://scotgov.publishingthefuture.info/publication/dsa-consultation-individual-response-analysis
"Planning Improvements for Disabled Pupils' Access to Education - Guidance for Education Authorities, Independent and Grant-Aided Schools",The Scottish Government,2014-11-06 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-planning-improvements-for-disabled-pupils-access-to-education-guidance-for-education-authorities-independent-and-grant-aided-schools.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-planning-improvements-for-disabled-pupils-access-to-education-guidance-for-education-authorities-independent-and-grant-aided-schools.mobi,http://scotgov.publishingthefuture.info/publication/planning-improvements-for-disabled-pupils-access-to-education-guidance-for-education
Determining Primary School Capacity - Guidance,The Scottish Government,2014-10-24 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-determining-primary-school-capacity-guidance-24-october-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-determining-primary-school-capacity-guidance-24-october-2014.mobi,http://scotgov.publishingthefuture.info/publication/determining-primary-school-capacity-guidance
Joint Statement of the Inter-Departmental Ministerial Group (IDMG) on Modern Slavery,The Scottish Government,2014-10-18 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-joint-statement-of-the-inter-departmental-ministerial-group-idmg-on-modern-slavery.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-joint-statement-of-the-inter-departmental-ministerial-group-idmg-on-modern-slavery.mobi,http://scotgov.publishingthefuture.info/publication/joint-statement-of-the-inter-departmental-ministerial-group-idmg-on-modern-slavery
More Powers for the Scottish Parliament - Scottish Government Proposals,The Scottish Government,2014-10-10 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-more-powers-for-the-scottish-parliament-scottish-government-proposals.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-more-powers-for-the-scottish-parliament-scottish-government-proposals.mobi,http://scotgov.publishingthefuture.info/publication/more-powers-for-the-scottish-parliament-scottish-government-proposals
Report on the Follow up Inspection of HMP Kilmarnock 14-19 July 2014,Her Majesty's Inspectorate of Prisons for Scotland,2014-10-07 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-kilmarnock-follow-up-inspection-14-19-july-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-report-on-hmp-kilmarnock-follow-up-inspection-14-19-july-2014.mobi,http://scotgov.publishingthefuture.info/publication/report-on-the-follow-up-inspection-of-hmp-kilmarnock-14-19-july-2014
Guidance for Local Authorities : Housing Support Duty to Those Found to be Homeless or Threatened with Homelessness - Amendment to Housing (Scotland) Act 1987 (inserted by Housing (Scotland) Act 2010),The Scottish Government,2014-09-30 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-guidance-for-local-authorities-housing-support-duty-to-those-found-to-be-homeless-or-threatened-with-homelessness-amendment-to-housing-scotland-act-1987-inserted-by-housing-scotland-act-2010.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-guidance-for-local-authorities-housing-support-duty-to-those-found-to-be-homeless-or-threatened-with-homelessness-amendment-to-housing-scotland-act-1987-inserted-by-housing-scotland-act-2010.mobi,http://scotgov.publishingthefuture.info/publication/guidance-for-local-authorities-housing-support-duty-to-those-found-to-be-homeless-or
Report on HMP Greenock Full Inspection 19-27 May 2014,Her Majesty's Inspectorate of Prisons for Scotland,2014-09-23 00:00:00,http://files.scotgov.publishingthefuture.info/hm-inspectorate-of-prisons-for-scotland-report-on-hmp-greenock-full-inspection-19-27-may-2014.epub,http://files.scotgov.publishingthefuture.info/hm-inspectorate-of-prisons-for-scotland-report-on-hmp-greenock-full-inspection-19-27-may-2014.mobi,http://scotgov.publishingthefuture.info/publication/report-on-hmp-greenock-full-inspection-19-27-may-2014
NHS Board Projected staff in Post changes for 2014/15,The Scottish Government,2014-08-26 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-nhs-board-projected-staff-in-post-changes-for-2014-15.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-nhs-board-projected-staff-in-post-changes-for-2014-15.mobi,http://scotgov.publishingthefuture.info/publication/nhs-board-projected-staff-in-post-changes-for-201415
25% Reduction in Senior Management Posts Target - National Progress Towards 25% Reduction as at 31st March 2014,The Scottish Government,2014-08-26 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-25-reduction-in-senior-management-posts-target-national-progress-towards-25-reduction-as-at-31st-march-2014.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-25-reduction-in-senior-management-posts-target-national-progress-towards-25-reduction-as-at-31st-march-2014.mobi,http://scotgov.publishingthefuture.info/publication/25-reduction-in-senior-management-posts-target-national-progress-towards-25-reduction--2
The Quality Principles: Standard Expectations of Care and Support in Drug and Alcohol Services,The Scottish Government,2014-08-21 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-quality-principles-standard-expectations-of-care-and-support-in-drug-and-alcohol-services.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-quality-principles-standard-expectations-of-care-and-support-in-drug-and-alcohol-services.mobi,http://scotgov.publishingthefuture.info/publication/the-quality-principles-standard-expectations-of-care-and-support-in-drug-and-alcohol
Building the Ambition - National Practice Guidance on Early Learning and Childcare - Children and Young People (Scotland) Act 2014,The Scottish Government,2014-08-21 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-building-the-ambition.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-building-the-ambition.mobi,http://scotgov.publishingthefuture.info/publication/building-the-ambition-national-practice-guidance-on-early-learning-and-childcare
The Digital Strategy for Justice in Scotland,The Scottish Government,2014-08-20 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-digital-strategy-for-justice-in-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-the-digital-strategy-for-justice-in-scotland.mobi,http://scotgov.publishingthefuture.info/publication/the-digital-strategy-for-justice-in-scotland
Annual Report for The Child Poverty Strategy for Scotland,The Scottish Government,2014-08-08 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-annual-report-for-the-child-poverty-strategy-for-scotland.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-annual-report-for-the-child-poverty-strategy-for-scotland.mobi,http://scotgov.publishingthefuture.info/publication/annual-report-for-the-child-poverty-strategy-for-scotland
Empowering Scotland's Island Communities - Your Introductory Guide,The Scottish Government,2014-08-03 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-empowering-scotland-s-island-communities-your-introductory-guide.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-empowering-scotland-s-island-communities-your-introductory-guide.mobi,http://scotgov.publishingthefuture.info/publication/empowering-scotlands-island-communities-your-introductory-guide
SurvivorScotland National Strategy for Survivors of Childhood Abuse - Lessons from the Alaskan Family Wellness Warriors Initiative -18 and 19 February 2014 - Conference Report July 2014,The Scottish Government,2014-07-31 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-survivorscotland-national-strategy-for-survivors-of-childhood-abuse.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-survivorscotland-national-strategy-for-survivors-of-childhood-abuse.mobi,http://scotgov.publishingthefuture.info/publication/survivorscotland-national-strategy-for-survivors-of-childhood-abuse
Support for Nursing and Midwifery Students in Scotland 2014/15,The Scottish Government,2014-07-18 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-support-for-nursing-and-midwifery-students-in-scotland-2014-15.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-support-for-nursing-and-midwifery-students-in-scotland-2014-15.mobi,http://scotgov.publishingthefuture.info/publication/support-for-nursing-and-midwifery-students-in-scotland-201415
Poverty and Income Inequality in Scotland: 2012/13,The Scottish Government,2014-07-02 00:00:00,http://files.scotgov.publishingthefuture.info/the-scottish-government-poverty-and-income-inequality-in-scotland-2012-13.epub,http://files.scotgov.publishingthefuture.info/the-scottish-government-poverty-and-income-inequality-in-scotland-2012-13.mobi,http://scotgov.publishingthefuture.info/publication/poverty-and-income-inequality-in-scotland-201213
